sold,days,discount,price,r2M,MonthList,MonthSold,NumList,NumPC,NumSold
0,61,6.799999999999997,1188000,1.08,4,0,1,2,0
0,77,0.0,6288000,5.72,4,0,3,0,2
0,205,4.099999999999994,1180000,1.07,10,0,1,2,1
0,59,12.700000000000003,1388000,1.26,1,0,1,1,0
0,23,0.0,4700000,4.35,5,0,3,0,2
0,57,0.0,1198000,1.11,4,0,5,15,1
0,84,0.0,1526000,1.41,3,0,3,22,0
0,26,0.0,1980000,1.83,5,0,1,0,2
0,93,0.0,2280000,2.11,3,0,2,0,2
0,121,5.0,948000,0.88,1,0,1,2,1
0,17,0.0,1599000,1.48,6,0,1,0,0
0,35,3.0999999999999943,1550000,1.44,4,0,3,6,0
0,45,6.5,1588000,1.47,4,0,1,1,1
0,47,0.0,2298000,2.13,5,0,2,0,0
0,79,0.0,2299000,2.13,4,0,2,1,1
0,148,0.0,1288000,1.19,1,0,1,0,0
0,205,18.299999999999997,1795000,1.66,10,0,1,3,0
0,201,11.5,998000,0.92,11,0,1,4,1
0,232,5.799999999999997,2448000,2.27,10,0,4,14,2
0,219,8.799999999999997,2398000,2.22,7,0,1,2,0
0,389,16.0,1580000,1.46,5,0,3,5,1
0,285,16.400000000000006,2998000,2.78,5,0,5,6,2
0,387,10.200000000000003,1426000,1.32,3,0,1,5,1
0,15,0.0,739000,0.84,6,0,1,0,2
0,42,0.0,1180000,1.34,5,0,2,2,0
0,62,4.299999999999997,2380000,2.71,3,0,2,1,1
0,21,0.0,3888888,4.42,5,0,1,0,0
0,56,4.200000000000003,948000,1.08,4,0,2,2,0
0,132,0.0,848000,0.96,2,0,1,0,1
0,120,10.299999999999997,3488000,3.97,2,0,2,1,1
0,105,8.400000000000006,1548000,1.76,2,0,2,2,1
0,140,0.0,1098000,1.25,1,0,1,0,2
0,232,0.0,950000,1.08,10,0,2,1,4
0,244,9.900000000000006,1396000,1.59,7,0,1,2,0
0,185,13.900000000000006,3399000,2.21,11,0,5,12,1
0,57,0.0,1788000,1.16,4,0,4,0,1
0,7,0.0,1288000,0.84,6,0,2,0,2
0,260,11.799999999999997,2988000,1.94,7,0,6,5,0
0,42,0.0,2888000,1.88,5,0,4,3,1
0,54,7.0,2599000,1.69,4,0,6,4,1
0,98,0.0,1388000,0.9,3,0,4,3,1
0,76,0.0,1399000,0.91,4,0,1,0,1
0,75,10.099999999999994,999500,0.65,1,0,2,4,3
0,75,9.599999999999994,1899000,1.23,1,0,1,1,0
0,57,10.5,1699000,1.1,4,0,1,1,0
0,77,8.299999999999997,2750000,1.79,3,0,1,1,1
0,105,0.0,2688000,1.75,3,0,4,3,0
0,149,11.799999999999997,5995000,3.9,8,0,3,3,0
0,185,18.099999999999994,2990000,1.94,10,0,6,4,3
0,170,14.900000000000006,3395000,2.21,5,0,1,2,2
0,7,0.0,5600000,4.01,6,0,2,0,2
0,41,0.0,1199000,0.86,5,0,1,0,0
0,101,0.0,1045000,0.75,3,0,4,3,2
0,43,0.0,2980000,2.13,5,0,5,3,3
0,21,0.0,1200000,0.86,5,0,1,0,0
0,41,3.9000000000000057,1488000,1.06,4,0,1,1,1
0,60,5.5,1299000,0.93,4,0,2,3,1
0,43,13.5,950000,0.68,4,0,1,1,0
0,43,0.0,3498000,2.5,5,0,2,1,2
0,42,0.0,3570000,2.55,5,0,6,2,2
0,61,2.0999999999999943,2328000,1.67,4,0,1,1,1
0,128,10.400000000000006,1299000,0.93,1,0,1,3,0
0,48,0.0,1498000,1.07,5,0,2,0,1
0,37,0.0,950000,0.68,5,0,3,0,1
0,97,0.0,842000,0.6,3,0,3,0,2
0,80,6.299999999999997,1499000,1.07,2,0,2,3,0
0,158,11.799999999999997,1499000,1.07,11,0,1,2,0
0,68,5.900000000000006,1599000,1.14,3,0,1,1,0
0,210,7.099999999999994,1299000,0.93,11,0,1,1,1
0,284,28.200000000000003,2150000,1.54,7,0,1,4,0
0,41,5.0,1899000,1.36,4,0,3,6,0
0,386,10.5,1090000,0.78,4,0,1,5,0
0,193,2.9000000000000057,1795000,1.28,6,0,1,1,1
0,14,0.0,799999,1.43,6,0,3,4,1
0,20,0.0,729000,1.3,5,0,1,0,0
0,8,0.0,939000,1.68,6,0,1,0,0
0,16,0.0,829999,1.48,6,0,1,0,1
0,13,5.900000000000006,799000,1.43,5,0,1,1,0
0,17,0.0,1499888,2.68,6,0,1,0,1
0,18,0.0,939000,1.68,6,0,1,0,1
